event_time,order_id,product_id,category_id,brand,price,user_id,brand_loyalty
2020-04-24 11:50:39+00:00,2294359932054536986,1515966223509089906,2.268105426648171e+18,samsung,162.01,1.515915625441994e+18,1
2020-04-24 11:50:39+00:00,2294359932054536986,1515966223509089906,2.268105426648171e+18,samsung,162.01,1.515915625441994e+18,1
2020-04-24 14:37:43+00:00,2294444024058086220,2273948319057183658,2.2681054301629978e+18,huawei,77.52,1.5159156254478794e+18,1
2020-04-24 14:37:43+00:00,2294444024058086220,2273948319057183658,2.2681054301629978e+18,huawei,77.52,1.5159156254478794e+18,1
2020-04-24 19:16:21+00:00,2294584263154074236,2273948316817424439,2.26810547136784e+18,Other,217.57,1.515915625443148e+18,1
2020-04-26 08:45:57+00:00,2295716521449619559,1515966223509261697,2.268105442636858e+18,Other,39.33,1.5159156254503828e+18,1
2020-04-26 09:33:47+00:00,2295740594749702229,1515966223509104892,2.268105428166509e+18,apple,1387.01,1.5159156254487665e+18,1
2020-04-26 09:33:47+00:00,2295740594749702229,1515966223509104892,2.268105428166509e+18,apple,1387.01,1.5159156254487665e+18,1
2020-04-26 09:33:47+00:00,2295740594749702229,1515966223509104892,2.268105428166509e+18,apple,1387.01,1.5159156254487665e+18,1
2020-04-26 09:33:47+00:00,2295740594749702229,1515966223509104892,2.268105428166509e+18,apple,1387.01,1.5159156254487665e+18,1
2020-04-26 14:55:26+00:00,2295902490203259134,2273948311742316796,2.268105393848714e+18,lg,462.94,1.5159156254505613e+18,1
2020-04-26 23:35:39+00:00,2296164324487463110,1515966223509259473,2.2681054024470374e+18,polaris,30.07,1.5159156254467983e+18,1
2020-04-27 07:24:51+00:00,2296400480990920715,2273948308663698152,2.3744989140005924e+18,samsung,416.64,1.5159156254508995e+18,1
2020-04-27 14:57:22+00:00,2296628237930857206,1515966223509089660,2.2681054100219494e+18,Other,91.41,1.5159156254511316e+18,1
2020-04-27 14:57:22+00:00,2296628237930857206,1515966223509089660,2.2681054100219494e+18,Other,91.41,1.5159156254511316e+18,1
2020-04-27 14:57:22+00:00,2296628237930857206,1515966223509089660,2.2681054100219494e+18,Other,91.41,1.5159156254511316e+18,1
2020-04-28 02:21:45+00:00,2296972701060825130,1515966223509104683,2.2681054027741932e+18,philips,23.13,1.5159156254512128e+18,1
